-------------------------------------------
[clock  0↓]:
$|Reg 0| 00000000 |
$|Reg 1| 00000000 |
$|Reg 2| 00000000 |
$|Reg 3| 00000000 |
$|Reg 4| 00000000 |
$|Reg 5| 00000000 |
$|Reg 6| 00000000 |
$|Reg 7| 00000000 |
$|Reg 8| 00000000 |
$|Reg 9| 00000000 |
$|Reg10| 00000000 |
$|Reg11| 00000000 |
$|Reg12| 00000000 |
$|Reg13| 00000000 |
$|Reg14| 00000000 |
$|Reg15| 00000000 |
$|Reg16| 00000000 |
$|Reg17| 00000000 |
$|Reg18| 00000000 |
$|Reg19| 00000000 |
$|Reg20| 00000000 |
$|Reg21| 00000000 |
$|Reg22| 00000000 |
$|Reg23| 00000000 |
$|Reg24| 00000000 |
$|Reg25| 00000000 |
$|Reg26| 00000000 |
$|Reg27| 00000000 |
$|Reg28| 00000000 |
$|Reg29| 00000000 |
$|Reg30| 00000000 |
$|Reg31| 00000000 |
-------------------------------------------
[clock  1↓]:
$|Reg 0| 00000000 |
$|Reg 1| 00000000 |
$|Reg 2| 00000000 |
$|Reg 3| 00000000 |
$|Reg 4| 00000000 |
$|Reg 5| 00000000 |
$|Reg 6| 00000000 |
$|Reg 7| 00000000 |
$|Reg 8| 00000000 |
$|Reg 9| 00000000 |
$|Reg10| 00000000 |
$|Reg11| 00000000 |
$|Reg12| 00000000 |
$|Reg13| 00000000 |
$|Reg14| 00000000 |
$|Reg15| 00000000 |
$|Reg16| 00000000 |
$|Reg17| 00000000 |
$|Reg18| 00000000 |
$|Reg19| 00000000 |
$|Reg20| 00000000 |
$|Reg21| 00000000 |
$|Reg22| 00000000 |
$|Reg23| 00000000 |
$|Reg24| 00000000 |
$|Reg25| 00000000 |
$|Reg26| 00000000 |
$|Reg27| 00000000 |
$|Reg28| 00000000 |
$|Reg29| 00000000 |
$|Reg30| 00000000 |
$|Reg31| 00000000 |
-------------------------------------------
[clock  2↓]:
$|Reg 0| 00000000 |
$|Reg 1| 00000000 |
$|Reg 2| 00000000 |
$|Reg 3| 00000000 |
$|Reg 4| 00000000 |
$|Reg 5| 00000000 |
$|Reg 6| 00000000 |
$|Reg 7| 00000000 |
$|Reg 8| 00000000 |
$|Reg 9| 00000000 |
$|Reg10| 00000000 |
$|Reg11| 00000000 |
$|Reg12| 00000000 |
$|Reg13| 00000000 |
$|Reg14| 00000000 |
$|Reg15| 00000000 |
$|Reg16| 00000000 |
$|Reg17| 00000000 |
$|Reg18| 00000000 |
$|Reg19| 00000000 |
$|Reg20| 00000000 |
$|Reg21| 00000000 |
$|Reg22| 00000000 |
$|Reg23| 00000000 |
$|Reg24| 00000000 |
$|Reg25| 00000000 |
$|Reg26| 00000000 |
$|Reg27| 00000000 |
$|Reg28| 00000000 |
$|Reg29| 00000000 |
$|Reg30| 00000000 |
$|Reg31| 00000000 |
-------------------------------------------
[clock  3↓]:
$|Reg 0| 00000000 |
$|Reg 1| 00000000 |
$|Reg 2| 00000000 |
$|Reg 3| 00000000 |
$|Reg 4| 00000000 |
$|Reg 5| 00000000 |
$|Reg 6| 00000000 |
$|Reg 7| 00000000 |
$|Reg 8| 00000000 |
$|Reg 9| 00000000 |
$|Reg10| 00000000 |
$|Reg11| 00000000 |
$|Reg12| 00000000 |
$|Reg13| 00000000 |
$|Reg14| 00000000 |
$|Reg15| 00000000 |
$|Reg16| 00000000 |
$|Reg17| 00000000 |
$|Reg18| 00000000 |
$|Reg19| 00000000 |
$|Reg20| 00000000 |
$|Reg21| 00000000 |
$|Reg22| 00000000 |
$|Reg23| 00000000 |
$|Reg24| 00000000 |
$|Reg25| 00000000 |
$|Reg26| 00000000 |
$|Reg27| 00000000 |
$|Reg28| 00000000 |
$|Reg29| 00000000 |
$|Reg30| 00000000 |
$|Reg31| 00000000 |
-------------------------------------------
[clock  4↓]:
$|Reg 0| 00000000 |
$|Reg 1| 00000000 |
$|Reg 2| 00000000 |
$|Reg 3| 00000000 |
$|Reg 4| 00000000 |
$|Reg 5| 00000000 |
$|Reg 6| 00000000 |
$|Reg 7| 00000000 |
$|Reg 8| 00000000 |
$|Reg 9| 00000000 |
$|Reg10| 00000000 |
$|Reg11| 00000000 |
$|Reg12| 00000000 |
$|Reg13| 00000000 |
$|Reg14| 00000000 |
$|Reg15| 00000000 |
$|Reg16| 00000000 |
$|Reg17| 00000000 |
$|Reg18| 00000000 |
$|Reg19| 00000000 |
$|Reg20| 00000000 |
$|Reg21| 00000000 |
$|Reg22| 00000000 |
$|Reg23| 00000000 |
$|Reg24| 00000000 |
$|Reg25| 00000000 |
$|Reg26| 00000000 |
$|Reg27| 00000000 |
$|Reg28| 00000000 |
$|Reg29| 00000000 |
$|Reg30| 00000000 |
$|Reg31| 00000000 |
-------------------------------------------
[clock  5↓]:
$|Reg 0| 00000000 |
$|Reg 1| 00000001 |
$|Reg 2| 00000000 |
$|Reg 3| 00000000 |
$|Reg 4| 00000000 |
$|Reg 5| 00000000 |
$|Reg 6| 00000000 |
$|Reg 7| 00000000 |
$|Reg 8| 00000000 |
$|Reg 9| 00000000 |
$|Reg10| 00000000 |
